ID,Layer Height (mm),Extrusion Temp (°C),Outer Wall Speed (mm/s),Infill Density (%),Wall Thickness (mm),Bed Temp (°C),Fan Speed (%),Surface Angle (°),Ra
Object-1,0.12,190,200,15,0.42,60,80,0,7.887
Object-1,0.12,190,200,15,0.42,60,80,10,19.744
Object-1,0.12,190,200,15,0.42,60,80,20,24.333
Object-1,0.12,190,200,15,0.42,60,80,30,21.370
Object-1,0.12,190,200,15,0.42,60,80,40,18.202
Object-1,0.12,190,200,15,0.42,60,80,50,13.830
Object-1,0.12,190,200,15,0.42,60,80,60,10.060
Object-1,0.12,190,200,15,0.42,60,80,70,8.258
Object-1,0.12,190,200,15,0.42,60,80,80,8.352
Object-1,0.12,190,200,15,0.42,60,80,90,7.725
Object-1,0.12,190,200,15,0.42,60,80,100,7.637
Object-1,0.12,190,200,15,0.42,60,80,110,8.200
Object-1,0.12,190,200,15,0.42,60,80,120,8.843
Object-1,0.12,190,200,15,0.42,60,80,130,10.216
Object-1,0.12,190,200,15,0.42,60,80,140,12.573
Object-1,0.12,190,200,15,0.42,60,80,150,16.061
Object-1,0.12,190,200,15,0.42,60,80,160,27.626
Object-1,0.12,190,200,15,0.42,60,80,170,28.994
Object-2,0.12,210,200,15,0.42,60,80,0,9.164
Object-2,0.12,210,200,15,0.42,60,80,10,17.169
Object-2,0.12,210,200,15,0.42,60,80,20,24.892
Object-2,0.12,210,200,15,0.42,60,80,30,21.225
Object-2,0.12,210,200,15,0.42,60,80,40,17.483
Object-2,0.12,210,200,15,0.42,60,80,50,13.076
Object-2,0.12,210,200,15,0.42,60,80,60,10.408
Object-2,0.12,210,200,15,0.42,60,80,70,8.699
Object-2,0.12,210,200,15,0.42,60,80,80,8.949
Object-2,0.12,210,200,15,0.42,60,80,90,7.830
Object-2,0.12,210,200,15,0.42,60,80,100,8.080
Object-2,0.12,210,200,15,0.42,60,80,110,8.362
Object-2,0.12,210,200,15,0.42,60,80,120,8.825
Object-2,0.12,210,200,15,0.42,60,80,130,10.295
Object-2,0.12,210,200,15,0.42,60,80,140,12.666
Object-2,0.12,210,200,15,0.42,60,80,150,16.215
Object-2,0.12,210,200,15,0.42,60,80,160,28.521
Object-2,0.12,210,200,15,0.42,60,80,170,31.040
Object-3,0.28,190,200,15,0.42,60,80,0,4.367
Object-3,0.28,190,200,15,0.42,60,80,10,19.888
Object-3,0.28,190,200,15,0.42,60,80,20,22.375
Object-3,0.28,190,200,15,0.42,60,80,30,33.251
Object-3,0.28,190,200,15,0.42,60,80,40,33.288
Object-3,0.28,190,200,15,0.42,60,80,50,29.855
Object-3,0.28,190,200,15,0.42,60,80,60,25.296
Object-3,0.28,190,200,15,0.42,60,80,70,25.308
Object-3,0.28,190,200,15,0.42,60,80,80,29.837
Object-3,0.28,190,200,15,0.42,60,80,90,17.963
Object-3,0.28,190,200,15,0.42,60,80,100,19.133
Object-3,0.28,190,200,15,0.42,60,80,110,20.093
Object-3,0.28,190,200,15,0.42,60,80,120,23.082
Object-3,0.28,190,200,15,0.42,60,80,130,28.441
Object-3,0.28,190,200,15,0.42,60,80,140,36.769
Object-3,0.28,190,200,15,0.42,60,80,150,27.898
Object-3,0.28,190,200,15,0.42,60,80,160,30.698
Object-3,0.28,190,200,15,0.42,60,80,170,30.069
Object-4,0.28,210,200,15,0.42,60,80,0,7.589
Object-4,0.28,210,200,15,0.42,60,80,10,36.823
Object-4,0.28,210,200,15,0.42,60,80,20,34.416
Object-4,0.28,210,200,15,0.42,60,80,30,28.434
Object-4,0.28,210,200,15,0.42,60,80,40,25.268
Object-4,0.28,210,200,15,0.42,60,80,50,22.446
Object-4,0.28,210,200,15,0.42,60,80,60,20.642
Object-4,0.28,210,200,15,0.42,60,80,70,20.723
Object-4,0.28,210,200,15,0.42,60,80,80,22.751
Object-4,0.28,210,200,15,0.42,60,80,90,25.368
Object-4,0.28,210,200,15,0.42,60,80,100,28.081
Object-4,0.28,210,200,15,0.42,60,80,110,39.440
Object-4,0.28,210,200,15,0.42,60,80,120,23.406
Object-4,0.28,210,200,15,0.42,60,80,130,26.455
Object-4,0.28,210,200,15,0.42,60,80,140,38.268
Object-4,0.28,210,200,15,0.42,60,80,150,45.235
Object-4,0.28,210,200,15,0.42,60,80,160,30.796
Object-4,0.28,210,200,15,0.42,60,80,170,37.258
Object-5,0.12,200,150,15,0.42,60,80,0,6.668
Object-5,0.12,200,150,15,0.42,60,80,10,18.193
Object-5,0.12,200,150,15,0.42,60,80,20,23.255
Object-5,0.12,200,150,15,0.42,60,80,30,21.286
Object-5,0.12,200,150,15,0.42,60,80,40,18.787
Object-5,0.12,200,150,15,0.42,60,80,50,14.551
Object-5,0.12,200,150,15,0.42,60,80,60,11.278
Object-5,0.12,200,150,15,0.42,60,80,70,8.746
Object-5,0.12,200,150,15,0.42,60,80,80,8.335
Object-5,0.12,200,150,15,0.42,60,80,90,7.740
Object-5,0.12,200,150,15,0.42,60,80,100,7.944
Object-5,0.12,200,150,15,0.42,60,80,110,8.802
Object-5,0.12,200,150,15,0.42,60,80,120,9.726
Object-5,0.12,200,150,15,0.42,60,80,130,10.374
Object-5,0.12,200,150,15,0.42,60,80,140,12.701
Object-5,0.12,200,150,15,0.42,60,80,150,16.305
Object-5,0.12,200,150,15,0.42,60,80,160,26.973
Object-5,0.12,200,150,15,0.42,60,80,170,27.989
Object-6,0.12,200,250,15,0.42,60,80,0,4.423
Object-6,0.12,200,250,15,0.42,60,80,10,17.380
Object-6,0.12,200,250,15,0.42,60,80,20,24.196
Object-6,0.12,200,250,15,0.42,60,80,30,20.914
Object-6,0.12,200,250,15,0.42,60,80,40,17.961
Object-6,0.12,200,250,15,0.42,60,80,50,14.150
Object-6,0.12,200,250,15,0.42,60,80,60,11.279
Object-6,0.12,200,250,15,0.42,60,80,70,9.572
Object-6,0.12,200,250,15,0.42,60,80,80,8.578
Object-6,0.12,200,250,15,0.42,60,80,90,7.943
Object-6,0.12,200,250,15,0.42,60,80,100,11.040
Object-6,0.12,200,250,15,0.42,60,80,110,8.458
Object-6,0.12,200,250,15,0.42,60,80,120,10.102
Object-6,0.12,200,250,15,0.42,60,80,130,10.606
Object-6,0.12,200,250,15,0.42,60,80,140,12.987
Object-6,0.12,200,250,15,0.42,60,80,150,17.407
Object-6,0.12,200,250,15,0.42,60,80,160,26.526
Object-6,0.12,200,250,15,0.42,60,80,170,28.065
Object-7,0.28,200,150,15,0.42,60,80,0,3.803
Object-7,0.28,200,150,15,0.42,60,80,10,40.513
Object-7,0.28,200,150,15,0.42,60,80,20,32.796
Object-7,0.28,200,150,15,0.42,60,80,30,27.734
Object-7,0.28,200,150,15,0.42,60,80,40,25.240
Object-7,0.28,200,150,15,0.42,60,80,50,23.737
Object-7,0.28,200,150,15,0.42,60,80,60,19.959
Object-7,0.28,200,150,15,0.42,60,80,70,23.568
Object-7,0.28,200,150,15,0.42,60,80,80,25.531
Object-7,0.28,200,150,15,0.42,60,80,90,28.194
Object-7,0.28,200,150,15,0.42,60,80,100,32.764
Object-7,0.28,200,150,15,0.42,60,80,110,20.848
Object-7,0.28,200,150,15,0.42,60,80,120,24.587
Object-7,0.28,200,150,15,0.42,60,80,130,25.871
Object-7,0.28,200,150,15,0.42,60,80,140,36.305
Object-7,0.28,200,150,15,0.42,60,80,150,43.979
Object-7,0.28,200,150,15,0.42,60,80,160,26.334
Object-7,0.28,200,150,15,0.42,60,80,170,29.217
Object-8,0.28,200,250,15,0.42,60,80,0,7.194
